epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,784.979,0.54897,2.65288,0.11206,0.41412,0.87804,0.89292,0.91972,0.97006,0.6401,0.55312,0.405,0.35983,0.14232,1.0998,5.70888,0.14562,0.63855,1.12938,0.000511769,0.000511769,0.000511769
72,794.436,0.59332,2.95622,0.13801,0.43372,0.90272,0.89127,0.92116,0.96252,0.64894,0.59998,0.42286,0.36159,0.15495,1.06447,5.60163,0.10448,0.62785,1.07861,0.000495266,0.000495266,0.000495266
73,803.288,0.52002,2.75944,0.14185,0.40735,0.8689,0.93228,0.91094,0.9616,0.66294,0.53401,0.36352,0.31713,0.15409,1.03953,5.56543,0.10532,0.58652,1.06365,0.000478762,0.000478762,0.000478762
74,813.421,0.55327,2.71439,0.14344,0.42383,0.88548,0.93533,0.95366,0.97536,0.66566,0.5495,0.385,0.32398,0.15122,1.06445,5.7084,0.10199,0.5947,1.09303,0.000462259,0.000462259,0.000462259
75,825.467,0.53026,2.71867,0.12633,0.40803,0.86655,0.93743,0.96,0.98003,0.64188,0.54459,0.385,0.3083,0.1397,1.13841,5.74522,0.11628,0.59691,1.15906,0.000445756,0.000445756,0.000445756
76,835.172,0.54673,2.73463,0.12992,0.42049,0.90487,0.93985,0.94214,0.98064,0.63356,0.54724,0.385,0.31728,0.14566,1.16489,5.73941,0.13361,0.60114,1.18062,0.000429253,0.000429253,0.000429253
77,844.097,0.57748,2.83285,0.15288,0.42518,0.90891,0.8887,0.96214,0.96651,0.64954,0.54494,0.385,0.34882,0.16228,1.09063,5.7036,0.18788,0.58943,1.13656,0.000412749,0.000412749,0.000412749
78,853.604,0.55605,2.66215,0.12811,0.39969,0.89438,0.90343,0.9616,0.98065,0.66031,0.56958,0.405,0.3782,0.16914,1.12367,5.69886,0.21193,0.59866,1.17187,0.000396246,0.000396246,0.000396246
79,863.552,0.55666,2.76718,0.13817,0.43036,0.90273,0.93763,0.95093,0.97936,0.68678,0.54596,0.385,0.36022,0.16592,1.10155,5.73297,0.18481,0.57015,1.1656,0.000379743,0.000379743,0.000379743
80,872.957,0.50352,2.57243,0.11572,0.39605,0.87466,0.95463,0.9591,0.98241,0.68113,0.48165,0.365,0.33321,0.1606,1.09066,5.65111,0.1623,0.56992,1.14017,0.000363239,0.000363239,0.000363239
81,885.814,0.52881,2.59079,0.12099,0.38648,0.8782,0.98008,0.94032,0.98598,0.69178,0.54455,0.35733,0.3389,0.15297,1.04282,5.68369,0.17738,0.56602,1.11098,0.000346736,0.000346736,0.000346736
82,898.641,0.50938,2.46664,0.12334,0.37873,0.8815,0.94908,0.95432,0.98619,0.69468,0.531,0.365,0.3511,0.15402,1.02194,5.71969,0.18285,0.54348,1.12281,0.000330233,0.000330233,0.000330233
83,908.316,0.50522,2.51582,0.1309,0.38864,0.87728,0.94229,0.97,0.98472,0.66979,0.5499,0.365,0.35344,0.16553,1.04178,5.7221,0.18791,0.5438,1.13177,0.000313729,0.000313729,0.000313729
84,920.409,0.486,2.59155,0.12255,0.39517,0.88704,0.96199,0.96142,0.9878,0.68084,0.54645,0.365,0.34574,0.16576,1.04061,5.69336,0.17544,0.53511,1.13788,0.000297226,0.000297226,0.000297226
